PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_NAME,TEAM_ID,TEAM_ABBREVIATION,PASS_TYPE,G,PASS_TO,PASS_TEAMMATE_PLAYER_ID,FREQUENCY,PASS,AST,FGM,FGA,FG_PCT,FG2M,FG2A,FG2_PCT,FG3M,FG3A,FG3_PCT
1628384,"Anunoby, OG",New York Knicks,1610612752,NYK,made,19,"Kolek, Tyler",1642278,0.01,0.26,0.0,0.05,0.11,0.5,0.05,0.05,1.0,0.0,0.05,0.0
1628384,"Anunoby, OG",New York Knicks,1610612752,NYK,made,19,"Sims, Jericho",1630579,0.038,1.05,0.0,0.0,0.21,0.0,0.0,0.21,0.0,0.0,0.0,
1628384,"Anunoby, OG",New York Knicks,1610612752,NYK,made,19,"Hukporti, Ariel",1630574,0.004,0.11,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
1628384,"Anunoby, OG",New York Knicks,1610612752,NYK,made,19,"McBride, Miles",1630540,0.054,1.47,0.21,0.32,0.47,0.667,0.11,0.26,0.4,0.21,0.21,1.0
1628384,"Anunoby, OG",New York Knicks,1610612752,NYK,made,19,"Ryan, Matt",1630346,0.002,0.05,0.0,0.0,0.05,0.0,0.0,0.0,,0.0,0.05,0.0
1628384,"Anunoby, OG",New York Knicks,1610612752,NYK,made,19,"Brunson, Jalen",1628973,0.4,10.95,0.37,1.26,3.11,0.407,0.79,1.95,0.405,0.47,1.16,0.409
1628384,"Anunoby, OG",New York Knicks,1610612752,NYK,made,19,"Bridges, Mikal",1628969,0.137,3.74,0.42,0.53,1.53,0.345,0.32,0.74,0.429,0.21,0.79,0.267
1628384,"Anunoby, OG",New York Knicks,1610612752,NYK,made,19,"Hart, Josh",1628404,0.188,5.16,0.47,0.47,0.89,0.529,0.21,0.32,0.667,0.26,0.58,0.455
1628384,"Anunoby, OG",New York Knicks,1610612752,NYK,made,19,"Payne, Cameron",1626166,0.077,2.11,0.16,0.26,0.63,0.417,0.05,0.16,0.333,0.21,0.47,0.444
1628384,"Anunoby, OG",New York Knicks,1610612752,NYK,made,19,"Towns, Karl-Anthony",1626157,0.09,2.47,0.37,0.47,1.0,0.474,0.26,0.63,0.417,0.21,0.37,0.571
1628969,"Bridges, Mikal",New York Knicks,1610612752,NYK,made,19,"Dadiet, Pacome",1642359,0.003,0.11,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
1628969,"Bridges, Mikal",New York Knicks,1610612752,NYK,made,19,"Kolek, Tyler",1642278,0.013,0.42,0.05,0.05,0.11,0.5,0.0,0.05,0.0,0.05,0.05,1.0
1628969,"Bridges, Mikal",New York Knicks,1610612752,NYK,made,19,"Sims, Jericho",1630579,0.033,1.05,0.11,0.11,0.11,1.0,0.11,0.11,1.0,0.0,0.0,
1628969,"Bridges, Mikal",New York Knicks,1610612752,NYK,made,19,"Hukporti, Ariel",1630574,0.012,0.37,0.05,0.05,0.05,1.0,0.05,0.05,1.0,0.0,0.0,
1628969,"Bridges, Mikal",New York Knicks,1610612752,NYK,made,19,"McBride, Miles",1630540,0.084,2.68,0.32,0.47,0.89,0.529,0.11,0.21,0.5,0.37,0.68,0.538
1628969,"Bridges, Mikal",New York Knicks,1610612752,NYK,made,19,"Brunson, Jalen",1628973,0.31,9.89,0.42,1.26,2.84,0.444,0.79,1.68,0.469,0.47,1.16,0.409
1628969,"Bridges, Mikal",New York Knicks,1610612752,NYK,made,19,"Hart, Josh",1628404,0.163,5.21,0.68,0.79,1.42,0.556,0.68,0.79,0.867,0.11,0.63,0.167
1628969,"Bridges, Mikal",New York Knicks,1610612752,NYK,made,19,"Anunoby, OG",1628384,0.133,4.26,0.63,0.74,2.0,0.368,0.37,1.21,0.304,0.37,0.79,0.467
1628969,"Bridges, Mikal",New York Knicks,1610612752,NYK,made,19,"Payne, Cameron",1626166,0.087,2.79,0.16,0.32,0.68,0.462,0.11,0.16,0.667,0.21,0.53,0.4
1628969,"Bridges, Mikal",New York Knicks,1610612752,NYK,made,19,"Towns, Karl-Anthony",1626157,0.161,5.16,0.84,1.21,2.21,0.548,0.84,1.47,0.571,0.37,0.74,0.5
1628973,"Brunson, Jalen",New York Knicks,1610612752,NYK,made,19,"Dadiet, Pacome",1642359,0.001,0.05,0.05,0.05,0.05,1.0,0.0,0.0,,0.05,0.05,1.0
1628973,"Brunson, Jalen",New York Knicks,1610612752,NYK,made,19,"Sims, Jericho",1630579,0.04,2.32,0.21,0.21,0.32,0.667,0.21,0.32,0.667,0.0,0.0,
1628973,"Brunson, Jalen",New York Knicks,1610612752,NYK,made,19,"Hukporti, Ariel",1630574,0.004,0.21,0.11,0.11,0.11,1.0,0.11,0.11,1.0,0.0,0.0,
1628973,"Brunson, Jalen",New York Knicks,1610612752,NYK,made,19,"McBride, Miles",1630540,0.07,4.11,0.53,0.58,1.79,0.324,0.21,0.58,0.364,0.37,1.21,0.304
1628973,"Brunson, Jalen",New York Knicks,1610612752,NYK,made,19,"Bridges, Mikal",1628969,0.226,13.21,1.16,1.37,3.89,0.351,1.05,2.11,0.5,0.32,1.79,0.176
1628973,"Brunson, Jalen",New York Knicks,1610612752,NYK,made,19,"Hart, Josh",1628404,0.266,15.58,1.53,1.79,3.47,0.515,1.32,2.0,0.658,0.47,1.47,0.321
1628973,"Brunson, Jalen",New York Knicks,1610612752,NYK,made,19,"Anunoby, OG",1628384,0.144,8.42,1.84,1.89,4.11,0.462,1.16,2.42,0.478,0.74,1.68,0.438
