,PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_NAME,TEAM_ID,TEAM_ABBREVIATION,PASS_TYPE,G,PASS_TO,PASS_TEAMMATE_PLAYER_ID,FREQUENCY,PASS,AST,FGM,FGA,FG_PCT,FG2M,FG2A,FG2_PCT,FG3M,FG3A,FG3_PCT
168,1631114,"Williams, Jalen",Oklahoma City Thunder,1610612760,OKC,made,10,"Giddey, Josh",1630581,0.131,74,3,4,21,0.19,2,13,0.154,2,8,0.25
169,1631114,"Williams, Jalen",Oklahoma City Thunder,1610612760,OKC,made,10,"Joe, Isaiah",1630198,0.069,39,9,9,16,0.563,4,5,0.8,5,11,0.455
170,1631114,"Williams, Jalen",Oklahoma City Thunder,1610612760,OKC,made,10,"Dort, Luguentz",1629652,0.101,57,9,9,16,0.563,4,6,0.667,5,10,0.5
171,1631114,"Williams, Jalen",Oklahoma City Thunder,1610612760,OKC,made,10,"Williams, Kenrich",1629026,0.002,1,0,0,0,0.0,0,0,0.0,0,0,0.0
172,1631114,"Williams, Jalen",Oklahoma City Thunder,1610612760,OKC,made,10,"Gilgeous-Alexander, Shai",1628983,0.298,168,1,24,50,0.48,22,44,0.5,2,6,0.333
173,1631114,"Williams, Jalen",Oklahoma City Thunder,1610612760,OKC,made,10,"Hayward, Gordon",202330,0.005,3,0,0,1,0.0,0,1,0.0,0,0,0.0
174,1630198,"Joe, Isaiah",Oklahoma City Thunder,1610612760,OKC,made,10,"Wallace, Cason",1641717,0.021,3,0,0,1,0.0,0,0,0.0,0,1,0.0
175,1630198,"Joe, Isaiah",Oklahoma City Thunder,1610612760,OKC,made,10,"Williams, Jaylin",1631119,0.124,18,0,0,2,0.0,0,1,0.0,0,1,0.0
176,1630198,"Joe, Isaiah",Oklahoma City Thunder,1610612760,OKC,made,10,"Williams, Jalen",1631114,0.248,36,6,6,10,0.6,4,7,0.571,2,3,0.667
177,1630198,"Joe, Isaiah",Oklahoma City Thunder,1610612760,OKC,made,10,"Holmgren, Chet",1631096,0.124,18,0,0,4,0.0,0,3,0.0,0,1,0.0
